word,ipa,respelling_us,alt_ipa,alt_respelling_us,source_url,source_label,category,confidence,notes,audio_url
RAID,/reɪd/,raid,,,,,acronym,community-consensus,"""raid"" the word. Redundant Array of Independent Disks.",https://pronounce.renlab.ai/audio/raid.mp3
DMA,/ˌdiː ɛm ˈeɪ/,D M A,,,,,acronym,community-consensus,"Letters ""D-M-A"". Direct Memory Access.",https://pronounce.renlab.ai/audio/dma.mp3
ECC,/ˌiː siː ˈsiː/,E C C,,,,,acronym,community-consensus,"Letters ""E-C-C"". Error-Correcting Code.",https://pronounce.renlab.ai/audio/ecc.mp3
GitOps,/ˈɡɪt ɒps/,git ops,,,https://www.gitops.tech/,gitops.tech,acronym,community-consensus,"""git-ops"".",https://pronounce.renlab.ai/audio/gitops.mp3
DevOps,/ˈdɛv ɒps/,dev ops,,,,,acronym,community-consensus,"""dev-ops"".",https://pronounce.renlab.ai/audio/devops.mp3
MLOps,/ˌɛm ɛl ˈɒps/,M L ops,,,,,acronym,community-consensus,"""M-L ops"".",https://pronounce.renlab.ai/audio/mlops.mp3
LLMOps,/ˌɛl ɛl ɛm ˈɒps/,L L M ops,,,,,acronym,community-consensus,"""L-L-M ops"".",https://pronounce.renlab.ai/audio/llmops.mp3
FinOps,/ˈfɪn ɒps/,fin ops,,,https://www.finops.org/,FinOps Foundation,acronym,community-consensus,"""fin-ops"". Financial operations for cloud.",https://pronounce.renlab.ai/audio/finops.mp3
SOA,/ˌɛs oʊ ˈeɪ/,S O A,,,,,acronym,community-consensus,"Letters ""S-O-A"". Service-Oriented Architecture.",https://pronounce.renlab.ai/audio/soa.mp3
ELT,/ˌiː ɛl ˈtiː/,E L T,,,,,acronym,community-consensus,"Letters ""E-L-T"". Extract, Load, Transform. Successor to ETL.",https://pronounce.renlab.ai/audio/elt.mp3
CNN,/ˌsiː ɛn ˈɛn/,C N N,,,,,acronym,community-consensus,"Letters ""C-N-N"". Convolutional Neural Network.",https://pronounce.renlab.ai/audio/cnn.mp3
RNN,/ˌɑːr ɛn ˈɛn/,R N N,,,,,acronym,community-consensus,"Letters ""R-N-N"". Recurrent Neural Network.",https://pronounce.renlab.ai/audio/rnn.mp3
LSTM,/ˌɛl ɛs tiː ˈɛm/,L S T M,,,,,acronym,community-consensus,"Letters ""L-S-T-M"". Long Short-Term Memory.",https://pronounce.renlab.ai/audio/lstm.mp3
GRU,/ˌdʒiː ɑːr ˈjuː/,G R U,,,,,acronym,community-consensus,"Letters ""G-R-U"". Gated Recurrent Unit.",https://pronounce.renlab.ai/audio/gru.mp3
GAN,/ɡæn/,gan,/ˌdʒiː eɪ ˈɛn/,G A N,https://arxiv.org/abs/1406.2661,Goodfellow et al.,acronym,community-consensus,"""gan"" the word common; letters in formal contexts. Generative Adversarial Network.",https://pronounce.renlab.ai/audio/gan.mp3
VAE,/ˌviː eɪ ˈiː/,V A E,,,,,acronym,community-consensus,"Letters ""V-A-E"". Variational Autoencoder.",https://pronounce.renlab.ai/audio/vae.mp3
ReLU,/ˈreɪ luː/,RAY loo,/ˈrɛ luː/,REH loo,,,cs-term,contested,"""RAY-loo"" common in US; ""REH-loo"" also heard. Rectified Linear Unit.",https://pronounce.renlab.ai/audio/relu.mp3
GeLU,/ˈdʒɛ luː/,JELL oo,/ˌdʒiː ɛl ˈjuː/,G E L U,https://arxiv.org/abs/1606.08415,Hendrycks & Gimpel,cs-term,contested,"""JELL-oo"" common; ""G-E-L-U"" also heard. Gaussian Error Linear Unit.",https://pronounce.renlab.ai/audio/gelu.mp3
SwiGLU,/ˈswiː ɡluː/,swee gloo,,,https://arxiv.org/abs/2002.05202,Shazeer,cs-term,community-consensus,"""swee-GLOO"". Swish-Gated Linear Unit.",https://pronounce.renlab.ai/audio/swiglu.mp3
RoPE,/roʊp/,rope,,,https://arxiv.org/abs/2104.09864,RoFormer paper,cs-term,community-consensus,"""rope"" the word. Rotary Position Embedding.",https://pronounce.renlab.ai/audio/rope.mp3
tanh,/tæntʃ/,tanch,/ˌtiː eɪ ɛn ˈeɪtʃ/,T A N H,,,cs-term,contested,"""tanch"" rhymes with ""ranch"" common; ""T-A-N-H"" letters also heard. Hyperbolic tangent.",https://pronounce.renlab.ai/audio/tanh.mp3
softmax,/ˈsɒft mæks/,soft max,,,,,cs-term,community-consensus,"""soft-MAX"".",https://pronounce.renlab.ai/audio/softmax.mp3
DPO,/ˌdiː piː ˈoʊ/,D P O,,,https://arxiv.org/abs/2305.18290,DPO paper,acronym,community-consensus,"Letters ""D-P-O"". Direct Preference Optimization.",https://pronounce.renlab.ai/audio/dpo.mp3
PPO,/ˌpiː piː ˈoʊ/,P P O,,,https://arxiv.org/abs/1707.06347,PPO paper,acronym,community-consensus,"Letters ""P-P-O"". Proximal Policy Optimization.",https://pronounce.renlab.ai/audio/ppo.mp3
GRPO,/ˌdʒiː ɑːr piː ˈoʊ/,G R P O,,,https://arxiv.org/abs/2402.03300,DeepSeekMath paper,acronym,community-consensus,"Letters ""G-R-P-O"". Group Relative Policy Optimization.",https://pronounce.renlab.ai/audio/grpo.mp3
Faiss,/feɪs/,face,/faɪs/,fyce,https://github.com/facebookresearch/faiss,Meta AI,tool,contested,"""face"" common (FB AI Similarity Search); ""fice"" also heard.",https://pronounce.renlab.ai/audio/faiss.mp3
C++,/ˌsiː plʌs ˈplʌs/,C plus plus,,,https://isocpp.org/,ISO C++,product,community-consensus,"""C-plus-plus"".",https://pronounce.renlab.ai/audio/c--.mp3
C#,/ˌsiː ˈʃɑːrp/,C sharp,,,https://learn.microsoft.com/dotnet/csharp/,Microsoft Learn,product,community-consensus,"""C-sharp"".",https://pronounce.renlab.ai/audio/c-.mp3
TypeScript,/ˈtaɪpˌskrɪpt/,TYPE script,,,https://www.typescriptlang.org/,TypeScript docs,product,community-consensus,"""TYPE-script"".",https://pronounce.renlab.ai/audio/typescript.mp3
JavaScript,/ˈdʒɑːvə skrɪpt/,JAH vah script,,,https://tc39.es/,TC39,product,community-consensus,"""JAH-vuh-script"".",https://pronounce.renlab.ai/audio/javascript.mp3
Tcl,/ˈtɪkəl/,tickle,,,https://www.tcl-lang.org/,Tcl official,product,creator-clarified,"John Ousterhout (creator): ""tickle"". Official Tcl Developer Xchange confirms.",https://pronounce.renlab.ai/audio/tcl.mp3
awk,/ɔːk/,auk,,,https://en.wikipedia.org/wiki/AWK#Origin_of_the_name,Wikipedia § Origin of the name,cli-tool,creator-clarified,"""auk"" — like the seabird, rhymes with ""hawk"". Named after creators' initials (Aho/Weinberger/Kernighan); pronunciation confirmed in original AWK book.",https://pronounce.renlab.ai/audio/awk.mp3
Perl,/pɜːrl/,purl,,,https://www.perl.org/,perl.org,product,community-consensus,"""purl"" — homophone of ""pearl"".",https://pronounce.renlab.ai/audio/perl.mp3
Lisp,/lɪsp/,lisp,,,,,product,community-consensus,"""lisp"" the word.",https://pronounce.renlab.ai/audio/lisp.mp3
Scheme,/skiːm/,skeem,,,,,product,community-consensus,"""skeem"" — like the word ""scheme"".",https://pronounce.renlab.ai/audio/scheme.mp3
Prolog,/ˈproʊ lɒɡ/,PRO log,,,,,product,community-consensus,"""PRO-log"".",https://pronounce.renlab.ai/audio/prolog.mp3
PHP,/ˌpiː eɪtʃ ˈpiː/,P H P,,,https://www.php.net/,PHP.net,product,community-consensus,"Letters ""P-H-P"".",https://pronounce.renlab.ai/audio/php.mp3
IDE,/ˌaɪ diː ˈiː/,I D E,,,,,acronym,community-consensus,"Letters ""I-D-E"". Integrated Development Environment.",https://pronounce.renlab.ai/audio/ide.mp3
RFC,/ˌɑːr ɛf ˈsiː/,R F C,,,,,acronym,community-consensus,"Letters ""R-F-C"". Request For Comments.",https://pronounce.renlab.ai/audio/rfc.mp3
Bash,/bæʃ/,bash,,,https://www.gnu.org/software/bash/,GNU Bash,product,community-consensus,"""bash"" the word. Bourne-Again Shell.",https://pronounce.renlab.ai/audio/bash.mp3
Swift,/swɪft/,swift,,,https://www.swift.org/,Swift.org,product,community-consensus,"""swift"" the word. Apple language.",https://pronounce.renlab.ai/audio/swift.mp3
Rust,/rʌst/,rust,,,https://www.rust-lang.org/,Rust,product,community-consensus,"""rust"" the word.",https://pronounce.renlab.ai/audio/rust.mp3
Go,/ɡoʊ/,go,/ˈɡoʊ læŋ/,go lang,https://go.dev/,Go,product,community-consensus,"""go"" the word; ""Golang"" common in writing/SEO but pronounced ""Go"".",https://pronounce.renlab.ai/audio/go.mp3
Ruby,/ˈruːbi/,ruby,,,https://www.ruby-lang.org/,Ruby,product,community-consensus,"""ruby"" the word.",https://pronounce.renlab.ai/audio/ruby.mp3
npm,/ˌɛn piː ˈɛm/,N P M,,,https://docs.npmjs.com/about-npm,npm docs,cli-tool,community-consensus,"Letters ""N-P-M"". Officially lowercase, not an acronym.",https://pronounce.renlab.ai/audio/npm.mp3
yarn,/jɑːrn/,yarn,,,https://yarnpkg.com/,Yarn docs,cli-tool,community-consensus,"""yarn"" the word.",https://pronounce.renlab.ai/audio/yarn.mp3
SPA,/ˌɛs piː ˈeɪ/,S P A,/spɑː/,spah,,,acronym,contested,"Letter-by-letter dominant; ""spa"" the word also heard. Single-Page Application.",https://pronounce.renlab.ai/audio/spa.mp3
PWA,/ˌpiː dʌbəl juː ˈeɪ/,P W A,,,,,acronym,community-consensus,"Letters ""P-W-A"". Progressive Web App.",https://pronounce.renlab.ai/audio/pwa.mp3
SSR,/ˌɛs ɛs ˈɑːr/,S S R,,,,,acronym,community-consensus,"Letters ""S-S-R"". Server-Side Rendering.",https://pronounce.renlab.ai/audio/ssr.mp3
CSR,/ˌsiː ɛs ˈɑːr/,C S R,,,,,acronym,community-consensus,"Letters ""C-S-R"". Client-Side Rendering.",https://pronounce.renlab.ai/audio/csr.mp3
SSG,/ˌɛs ɛs ˈdʒiː/,S S G,,,,,acronym,community-consensus,"Letters ""S-S-G"". Static Site Generation.",https://pronounce.renlab.ai/audio/ssg.mp3
ISR,/ˌaɪ ɛs ˈɑːr/,I S R,,,https://nextjs.org/docs/,Next.js docs,acronym,community-consensus,"Letters ""I-S-R"". Incremental Static Regeneration.",https://pronounce.renlab.ai/audio/isr.mp3
DOM,/dɒm/,dom,,,,,cs-term,community-consensus,"""dom"" rhymes with ""mom"". Document Object Model.",https://pronounce.renlab.ai/audio/dom.mp3
AST,/ˌeɪ ɛs ˈtiː/,A S T,,,,,acronym,community-consensus,"Letters ""A-S-T"". Abstract Syntax Tree.",https://pronounce.renlab.ai/audio/ast.mp3
V8,/ˌviː ˈeɪt/,V eight,,,https://v8.dev/,V8,tool,community-consensus,"""V-eight"". Google JS engine.",https://pronounce.renlab.ai/audio/v8.mp3
BFF,/ˌbiː ɛf ˈɛf/,B F F,,,,,acronym,community-consensus,"Letters ""B-F-F"". Backend For Frontend.",https://pronounce.renlab.ai/audio/bff.mp3
JPA,/ˌdʒeɪ piː ˈeɪ/,J P A,,,,,acronym,community-consensus,"Letters ""J-P-A"". Java Persistence API.",https://pronounce.renlab.ai/audio/jpa.mp3
JDBC,/ˌdʒeɪ diː biː ˈsiː/,J D B C,,,,,acronym,community-consensus,"Letters ""J-D-B-C"". Java Database Connectivity.",https://pronounce.renlab.ai/audio/jdbc.mp3
POJO,/ˈpoʊ dʒoʊ/,POE joh,,,https://en.wikipedia.org/wiki/Plain_old_Java_object,Wikipedia,acronym,community-consensus,"""POH-joh"". Plain Old Java Object.",https://pronounce.renlab.ai/audio/pojo.mp3
DTO,/ˌdiː tiː ˈoʊ/,D T O,,,,,acronym,community-consensus,"Letters ""D-T-O"". Data Transfer Object.",https://pronounce.renlab.ai/audio/dto.mp3
Adam,/ˈæ dəm/,adam,,,https://arxiv.org/abs/1412.6980,Adam paper,cs-term,community-consensus,"""AD-uhm"" — name. Adaptive Moment Estimation.",https://pronounce.renlab.ai/audio/adam.mp3
AdamW,/ˈæ dəm ˈdʌbəl juː/,adam W,,,https://arxiv.org/abs/1711.05101,AdamW paper,cs-term,community-consensus,"""AD-uhm W"" — Adam with decoupled Weight decay.",https://pronounce.renlab.ai/audio/adamw.mp3
Transformer,/trænsˈfɔːr mər/,trans former,,,https://arxiv.org/abs/1706.03762,Attention paper,cs-term,community-consensus,"""trans-FOR-mer"" — the architecture, not the toy.",https://pronounce.renlab.ai/audio/transformer.mp3
BERT,/bɜːrt/,burt,,,https://arxiv.org/abs/1810.04805,BERT paper,product,community-consensus,"""burt"" — like the name. Bidirectional Encoder Representations from Transformers.",https://pronounce.renlab.ai/audio/bert.mp3
T5,/ˌtiː ˈfaɪv/,T five,,,https://arxiv.org/abs/1910.10683,T5 paper,product,community-consensus,"""T-five"". Text-to-Text Transfer Transformer.",https://pronounce.renlab.ai/audio/t5.mp3
PaLM,/pɑːm/,pom,/ˌpiː eɪ ɛl ˈɛm/,P A L M,https://arxiv.org/abs/2204.02311,PaLM paper,product,contested,"Google brand: ""pom"" (palm tree); letter-by-letter also heard. Pathways Language Model.",https://pronounce.renlab.ai/audio/palm.mp3
SAM,/sæm/,sam,,,https://segment-anything.com/,Meta SAM,product,community-consensus,"""sam"" — name. Segment Anything Model.",https://pronounce.renlab.ai/audio/sam.mp3
CLIP,/klɪp/,clip,,,https://openai.com/research/clip,OpenAI CLIP,product,community-consensus,"""clip"" the word. Contrastive Language-Image Pre-training.",https://pronounce.renlab.ai/audio/clip.mp3
DINO,/ˈdiː noʊ/,DEE noh,,,https://arxiv.org/abs/2104.14294,DINO paper,product,community-consensus,"""DEE-noh"". Self-DIstillation with NO labels.",https://pronounce.renlab.ai/audio/dino.mp3
ColBERT,/kɒlˈbɜːrt/,col BURT,,,https://arxiv.org/abs/2004.12832,ColBERT paper,product,community-consensus,"""col-BURT"" — like Stephen Colbert. Contextualized Late interaction over BERT.",https://pronounce.renlab.ai/audio/colbert.mp3
HNSW,/ˌeɪtʃ ɛn ɛs ˈdʌbəl juː/,H N S W,,,https://arxiv.org/abs/1603.09320,HNSW paper,cs-term,community-consensus,"Letters ""H-N-S-W"". Hierarchical Navigable Small World.",https://pronounce.renlab.ai/audio/hnsw.mp3
Karpathy,/kɑːrˈpɑː θi/,kar PAH thee,,,https://karpathy.ai/,karpathy.ai,product,community-consensus,"""kar-PAH-thee"". Andrej Karpathy.",https://pronounce.renlab.ai/audio/karpathy.mp3
EVM,/ˌiː viː ˈɛm/,E V M,,,https://ethereum.org/en/developers/docs/evm/,ethereum.org,acronym,community-consensus,"Letters ""E-V-M"". Ethereum Virtual Machine.",https://pronounce.renlab.ai/audio/evm.mp3
ABI,/ˌeɪ biː ˈaɪ/,A B I,,,,,acronym,community-consensus,"Letters ""A-B-I"". Application Binary Interface.",https://pronounce.renlab.ai/audio/abi.mp3
dApp,/ˈdiː æp/,D app,,,https://ethereum.org/en/dapps/,ethereum.org,acronym,community-consensus,"""D-app"". Decentralized App.",https://pronounce.renlab.ai/audio/dapp.mp3
ENS,/ˌiː ɛn ˈɛs/,E N S,,,https://ens.domains/,ENS,product,community-consensus,"Letters ""E-N-S"". Ethereum Name Service.",https://pronounce.renlab.ai/audio/ens.mp3
SLA,/ˌɛs ɛl ˈeɪ/,S L A,,,,,acronym,community-consensus,"Letters ""S-L-A"". Service Level Agreement.",https://pronounce.renlab.ai/audio/sla.mp3
SLO,/ˌɛs ɛl ˈoʊ/,S L O,,,,,acronym,community-consensus,"Letters ""S-L-O"". Service Level Objective.",https://pronounce.renlab.ai/audio/slo.mp3
SLI,/ˌɛs ɛl ˈaɪ/,S L I,,,,,acronym,community-consensus,"Letters ""S-L-I"". Service Level Indicator.",https://pronounce.renlab.ai/audio/sli.mp3
KPI,/ˌkeɪ piː ˈaɪ/,K P I,,,,,acronym,community-consensus,"Letters ""K-P-I"".",https://pronounce.renlab.ai/audio/kpi.mp3
MTTR,/ˌɛm tiː tiː ˈɑːr/,M T T R,,,,,acronym,community-consensus,"Letters ""M-T-T-R"". Mean Time To Recovery.",https://pronounce.renlab.ai/audio/mttr.mp3
MTBF,/ˌɛm tiː biː ˈɛf/,M T B F,,,,,acronym,community-consensus,"Letters ""M-T-B-F"". Mean Time Between Failures.",https://pronounce.renlab.ai/audio/mtbf.mp3
uvicorn,/ˌjuː viː ˈkɔːrn/,yoo vee corn,,,https://www.uvicorn.org/,Uvicorn docs,tool,community-consensus,"""yoo-vee-CORN"". Python ASGI server.",https://pronounce.renlab.ai/audio/uvicorn.mp3
gunicorn,/ˈɡʌn i kɔːrn/,GUN i corn,,,https://gunicorn.org/,Gunicorn,tool,community-consensus,"""GUN-uh-corn"" — like a unicorn with a gun. Green Unicorn.",https://pronounce.renlab.ai/audio/gunicorn.mp3
WSGI,/ˈwɪz ɡi/,WIZ gee,/ˌdʌbəl juː ɛs dʒiː ˈaɪ/,double you S G I,https://wsgi.readthedocs.io/,WSGI docs,acronym,contested,"""WIZ-gee"" common; letter-by-letter also heard. Web Server Gateway Interface.",https://pronounce.renlab.ai/audio/wsgi.mp3
WebKit,/ˈwɛb kɪt/,web kit,,,https://webkit.org/,WebKit,product,community-consensus,"""web-KIT"". Apple browser engine.",https://pronounce.renlab.ai/audio/webkit.mp3
Big-O,/ˌbɪɡ ˈoʊ/,big oh,,,https://en.wikipedia.org/wiki/Big_O_notation,Wikipedia,cs-term,community-consensus,"""big-OH"". Asymptotic upper bound notation.",https://pronounce.renlab.ai/audio/big-o.mp3
pub/sub,/ˈpʌb sʌb/,pub sub,,,,,cs-term,community-consensus,"""pub-SUB"". Publish/Subscribe pattern.",https://pronounce.renlab.ai/audio/pub-sub.mp3
OOM,/ˌoʊ oʊ ˈɛm/,O O M,/uːm/,oom,,,acronym,contested,"Letters dominant; ""oom"" rare. Out Of Memory.",https://pronounce.renlab.ai/audio/oom.mp3
i18n,/ˌaɪ eɪˈtiːn ɛn/,eye eighteen N,,,https://en.wikipedia.org/wiki/Internationalization_and_localization,Wikipedia,abbreviation,community-consensus,"""eye-eighteen-N"". 18 letters between i and n in ""internationalization"".",https://pronounce.renlab.ai/audio/i18n.mp3
l10n,/ˌɛl tɛn ˈɛn/,L ten N,,,https://en.wikipedia.org/wiki/Internationalization_and_localization,Wikipedia,abbreviation,community-consensus,"""L-ten-N"". 10 letters between L and n in ""localization"".",https://pronounce.renlab.ai/audio/l10n.mp3
a11y,/ˌeɪ ɪˈlɛvən waɪ/,A eleven Y,,,https://www.a11yproject.com/,A11y Project,abbreviation,creator-clarified,"""A-eleven-Y"". 11 letters between a and y in ""accessibility"".",https://pronounce.renlab.ai/audio/a11y.mp3
e2e,/ˌiː tuː ˈiː/,E two E,,,,,abbreviation,community-consensus,"""E-two-E"". End-to-end (testing).",https://pronounce.renlab.ai/audio/e2e.mp3
m17n,/ˌɛm sɛvənˈtiːn ɛn/,M seventeen N,,,,,abbreviation,community-consensus,"""M-seventeen-N"". 17 letters between m and n in ""multilingualization"".",https://pronounce.renlab.ai/audio/m17n.mp3
s11n,/ˌɛs ɪˈlɛvən ɛn/,S eleven N,,,,,abbreviation,community-consensus,"""S-eleven-N"". Serialization.",https://pronounce.renlab.ai/audio/s11n.mp3
p13n,/ˌpiː θɜːrˈtiːn ɛn/,P thirteen N,,,,,abbreviation,community-consensus,"""P-thirteen-N"". Personalization.",https://pronounce.renlab.ai/audio/p13n.mp3
g11n,/ˌdʒiː ɪˈlɛvən ɛn/,G eleven N,,,,,abbreviation,community-consensus,"""G-eleven-N"". Globalization (umbrella for i18n + l10n).",https://pronounce.renlab.ai/audio/g11n.mp3
Hopper,/ˈhɒpər/,HOP er,,,https://en.wikipedia.org/wiki/Hopper_(microarchitecture),NVIDIA Hopper,product,community-consensus,"""HOP-er"". NVIDIA H100/H200 architecture, named after Grace Hopper.",https://pronounce.renlab.ai/audio/hopper.mp3
Blackwell,/ˈblæk wɛl/,BLACK well,,,https://en.wikipedia.org/wiki/Blackwell_(microarchitecture),NVIDIA Blackwell,product,community-consensus,"""BLACK-well"". NVIDIA B100/B200 architecture, named after mathematician David Blackwell.",https://pronounce.renlab.ai/audio/blackwell.mp3
Lovelace,/ˈlʌv leɪs/,LUV lace,,,https://en.wikipedia.org/wiki/Ada_Lovelace_(microarchitecture),NVIDIA Ada Lovelace,product,community-consensus,"""LUV-lace"" (RTX 40-series), after Ada Lovelace.",https://pronounce.renlab.ai/audio/lovelace.mp3
Ampere,/ˈæm pɪər/,AM peer,/ˈæm pɛər/,AM pair,https://en.wikipedia.org/wiki/Ampere_(microarchitecture),NVIDIA Ampere,product,contested,"US: ""AM-peer""; UK: ""AM-pair"". RTX 30-series + A100.",https://pronounce.renlab.ai/audio/ampere.mp3
Volta,/ˈvoʊl tə/,VOLE ta,,,https://en.wikipedia.org/wiki/Volta_(microarchitecture),NVIDIA Volta,product,community-consensus,"""VOLE-ta"". V100. Named after Alessandro Volta.",https://pronounce.renlab.ai/audio/volta.mp3
Pascal,/pæˈskæl/,pas KAL,/ˈpæs kəl/,PAS kuhl,https://en.wikipedia.org/wiki/Pascal_(microarchitecture),NVIDIA Pascal,product,contested,"Programming-language origin ""PAS-kuhl""; NVIDIA uses ""pas-KAL"" in talks. After Blaise Pascal.",https://pronounce.renlab.ai/audio/pascal.mp3
Grace,/ɡreɪs/,grace,,,https://www.nvidia.com/en-us/data-center/grace-cpu/,NVIDIA Grace,product,community-consensus,"""grace"" the word. NVIDIA ARM CPU, named after Grace Hopper.",https://pronounce.renlab.ai/audio/grace.mp3
Turing,/ˈtʊər ɪŋ/,TURE ing,,,https://en.wikipedia.org/wiki/Turing_(microarchitecture),NVIDIA Turing,product,community-consensus,"""TURE-ing"" (rhymes with ""during""). RTX 20-series. After Alan Turing.",https://pronounce.renlab.ai/audio/turing.mp3
Heartbleed,/ˈhɑːrt bliːd/,heart bleed,,,https://heartbleed.com/,heartbleed.com,cs-term,community-consensus,"""heart-bleed"". CVE-2014-0160. OpenSSL bug.",https://pronounce.renlab.ai/audio/heartbleed.mp3
Shellshock,/ˈʃɛl ʃɒk/,shell shock,,,https://en.wikipedia.org/wiki/Shellshock_(software_bug),Wikipedia,cs-term,community-consensus,"""shell-shock"". CVE-2014-6271. Bash bug.",https://pronounce.renlab.ai/audio/shellshock.mp3
Log4Shell,/ˌlɒɡ fɔːr ˈʃɛl/,log four shell,,,https://en.wikipedia.org/wiki/Log4Shell,Wikipedia,cs-term,community-consensus,"""log-four-shell"". CVE-2021-44228. log4j RCE.",https://pronounce.renlab.ai/audio/log4shell.mp3
Spectre,/ˈspɛk tər/,SPEK ter,,,https://spectreattack.com/,spectreattack.com,cs-term,community-consensus,"""SPEK-ter"". CPU side-channel vuln (2018).",https://pronounce.renlab.ai/audio/spectre.mp3
Meltdown,/ˈmɛlt daʊn/,melt down,,,https://meltdownattack.com/,meltdownattack.com,cs-term,community-consensus,"""melt-down"". CPU vuln paired with Spectre.",https://pronounce.renlab.ai/audio/meltdown.mp3
Druid,/ˈdruː ɪd/,DROO id,,,https://druid.apache.org/,Apache Druid,product,community-consensus,"""DROO-id"". Real-time analytics DB.",https://pronounce.renlab.ai/audio/druid.mp3
Pinot,/ˈpiː noʊ/,PEE noh,,,https://pinot.apache.org/,Apache Pinot,product,community-consensus,"""PEE-noh"" (like the wine). Real-time OLAP store.",https://pronounce.renlab.ai/audio/pinot.mp3
TiDB,/ˌtiː aɪ diː ˈbiː/,T I D B,,,https://www.pingcap.com/tidb/,PingCAP TiDB,product,community-consensus,"Letters ""T-I-D-B"". Hybrid SQL by PingCAP.",https://pronounce.renlab.ai/audio/tidb.mp3
YugabyteDB,/ˈjuː ɡə baɪt diː biː/,YOO guh bite D B,,,https://www.yugabyte.com/,Yugabyte,product,community-consensus,"""YOO-guh-bite-D-B"". Distributed SQL.",https://pronounce.renlab.ai/audio/yugabytedb.mp3
StarRocks,/ˈstɑːr rɒks/,star rocks,,,https://www.starrocks.io/,StarRocks,product,community-consensus,"""star-rocks"". OLAP database.",https://pronounce.renlab.ai/audio/starrocks.mp3
Doris,/ˈdɔːr ɪs/,DOR is,,,https://doris.apache.org/,Apache Doris,product,community-consensus,"""DOR-is"". MPP analytical DB.",https://pronounce.renlab.ai/audio/doris.mp3
Hardhat,/ˈhɑːrd hæt/,hard hat,,,https://hardhat.org/,Hardhat,tool,community-consensus,"""hard-hat"". Ethereum development environment.",https://pronounce.renlab.ai/audio/hardhat.mp3
Foundry,/ˈfaʊn dri/,FOUN dree,,,https://getfoundry.sh/,Foundry,tool,community-consensus,"""FOUN-dree"". Solidity smart contract toolkit.",https://pronounce.renlab.ai/audio/foundry.mp3
Anvil,/ˈæn vɪl/,AN vil,,,https://book.getfoundry.sh/anvil/,Foundry Anvil,tool,community-consensus,"""AN-vil"". Foundry local Ethereum node.",https://pronounce.renlab.ai/audio/anvil.mp3
Solana,/səˈlɑː nə/,suh LAH nuh,,,https://solana.com/,Solana,product,community-consensus,"""suh-LAH-nuh"". L1 blockchain.",https://pronounce.renlab.ai/audio/solana.mp3
WHATWG,/ˈwɒt wɪɡ/,WAT wig,/ˌdʌbəl juː eɪtʃ eɪ tiː ˌdʌbəl juː ˈdʒiː/,W H A T W G,https://whatwg.org/,WHATWG,acronym,contested,"""WHAT-wig"" common; letter-by-letter also heard. Web Hypertext Application Technology Working Group.",https://pronounce.renlab.ai/audio/whatwg.mp3
ECMA,/ˈɛk mə/,EK ma,/ˌiː siː ɛm ˈeɪ/,E C M A,https://ecma-international.org/,Ecma International,acronym,contested,"""EK-ma"" (one word) is the org's own usage; letter-by-letter also common. European Computer Manufacturers Association (legacy name).",https://pronounce.renlab.ai/audio/ecma.mp3
IETF,/ˌaɪ iː tiː ˈɛf/,I E T F,,,https://www.ietf.org/,IETF,acronym,community-consensus,"Letters ""I-E-T-F"". Internet Engineering Task Force.",https://pronounce.renlab.ai/audio/ietf.mp3
Raft,/ræft/,raft,,,https://raft.github.io/,raft.github.io,cs-term,creator-clarified,"""raft"" the word. Consensus algorithm by Diego Ongaro + John Ousterhout, intended as ""more understandable than Paxos"".",https://pronounce.renlab.ai/audio/raft.mp3
Paxos,/ˈpæk soʊs/,PAK sose,,,https://en.wikipedia.org/wiki/Paxos_(computer_science),Wikipedia,cs-term,community-consensus,"""PAK-sose"" — after the Greek island. Leslie Lamport's consensus algorithm.",https://pronounce.renlab.ai/audio/paxos.mp3
gossip,/ˈɡɒs ɪp/,gossip,,,https://en.wikipedia.org/wiki/Gossip_protocol,Wikipedia,cs-term,community-consensus,English word. Epidemic/anti-entropy protocol family.,https://pronounce.renlab.ai/audio/gossip.mp3
Byzantine,/bɪˈzæn tiːn/,biz AN teen,/ˈbɪz ən taɪn/,BIZ un tine,https://lamport.azurewebsites.net/pubs/byz.pdf,Lamport 1982,cs-term,contested,"""biz-AN-teen"" US default; ""BIZ-un-tine"" UK / older usage. Byzantine fault tolerance.",https://pronounce.renlab.ai/audio/byzantine.mp3
quorum,/ˈkwɔːr əm/,QUOR um,,,,,cs-term,community-consensus,"""QUOR-um"". Latin for the minimum number required.",https://pronounce.renlab.ai/audio/quorum.mp3
Lamport,/ˈlæm pɔːrt/,LAM port,,,https://lamport.azurewebsites.net/,Leslie Lamport site,cs-term,creator-clarified,"""LAM-port"". Leslie Lamport — distributed-systems pioneer.",https://pronounce.renlab.ai/audio/lamport.mp3
Saga,/ˈsɑː ɡə/,SAH guh,,,https://microservices.io/patterns/data/saga.html,microservices.io,cs-term,community-consensus,"""SAH-guh"". Long-running distributed transaction pattern.",https://pronounce.renlab.ai/audio/saga.mp3
HLC,/ˌeɪtʃ ɛl ˈsiː/,H L C,,,https://cse.buffalo.edu/tech-reports/2014-04.pdf,Kulkarni et al. 2014,acronym,community-consensus,"Letters ""H-L-C"". Hybrid Logical Clock.",https://pronounce.renlab.ai/audio/hlc.mp3
